Tanggal,Nilai
01/03/2022,14270
01/04/2022,14310
01/05/2022,14365
01/06/2022,14396
01/07/2022,14360
01/10/2022,14323
01/11/2022,14299
01/12/2022,14302
1/13/2022,14311
1/14/2022,14310
1/17/2022,14323
1/18/2022,14325
1/19/2022,14370
1/20/2022,14354
1/21/2022,14347
1/24/2022,14327
1/25/2022,14358
1/26/2022,14346
1/27/2022,14385
1/28/2022,14381
1/31/2022,14392
02/02/2022,14347
02/03/2022,14381
02/04/2022,14376
02/07/2022,14404
02/08/2022,14385
02/09/2022,14366
02/10/2022,14344
02/11/2022,14359
2/14/2022,14338
2/15/2022,14292
2/16/2022,14278
2/17/2022,14301
2/18/2022,14339
2/21/2022,14329
2/22/2022,14362
2/23/2022,14355
2/24/2022,14371
2/25/2022,14369
03/01/2022,14350
03/02/2022,14373
03/04/2022,14383
03/07/2022,14411
03/08/2022,14394
03/09/2022,14371
03/10/2022,14298
03/11/2022,14306
3/14/2022,14328
3/15/2022,14321
3/16/2022,14311
3/17/2022,14290
3/18/2022,14340
3/21/2022,14341
3/22/2022,14358
3/23/2022,14351
3/24/2022,14361
3/25/2022,14341
3/28/2022,14360
3/29/2022,14364
3/30/2022,14349
3/31/2022,14357
04/01/2022,14364
04/04/2022,14362
04/05/2022,14348
04/06/2022,14364
04/07/2022,14359
04/08/2022,14365
04/11/2022,14370
04/12/2022,14364
4/13/2022,14359
4/14/2022,14349
4/18/2022,14356
4/19/2022,14347
4/20/2022,14351
4/21/2022,14348
4/22/2022,14361
4/25/2022,14452
4/26/2022,14412
4/27/2022,14418
4/28/2022,14480
05/09/2022,14534
05/10/2022,14546
05/11/2022,14546
05/12/2022,14585
5/13/2022,14619
5/17/2022,14651
5/18/2022,14682
5/19/2022,14731
5/20/2022,14661
5/23/2022,14665
5/24/2022,14653
5/25/2022,14645
5/27/2022,14578
5/30/2022,14544
5/31/2022,14592
06/02/2022,14526
06/03/2022,14431
06/06/2022,14462
06/07/2022,14464
06/08/2022,14477
06/09/2022,14555
06/10/2022,14569
6/13/2022,14672
6/14/2022,14729
6/15/2022,14746
6/16/2022,14741
6/17/2022,14828
6/20/2022,14836
6/21/2022,14804
6/22/2022,14860
6/23/2022,14835
6/24/2022,14846
6/27/2022,14802
6/28/2022,14837
6/29/2022,14848
6/30/2022,14882
07/01/2022,14956
07/04/2022,14960
07/05/2022,14990
07/06/2022,15015
07/07/2022,14986
07/08/2022,14981
07/11/2022,14969
07/12/2022,14993
7/13/2022,14985
7/14/2022,14999
7/15/2022,14999
7/18/2022,14986
7/19/2022,14992
7/20/2022,14984
7/21/2022,15017
7/22/2022,15024
7/25/2022,14992
7/26/2022,14984
7/27/2022,15020
7/28/2022,14958
7/29/2022,14860
08/01/2022,14874
08/02/2022,14888
08/03/2022,14917
08/04/2022,14929
08/05/2022,14904
08/08/2022,14915
08/09/2022,14862
08/10/2022,14875
08/11/2022,14799
08/12/2022,14688
8/15/2022,14727
8/16/2022,14767
8/18/2022,14822
8/19/2022,14858
8/22/2022,14882
8/23/2022,14893
8/24/2022,14851
8/25/2022,14827
8/26/2022,14814
8/29/2022,14887
8/30/2022,14875
8/31/2022,14853
09/01/2022,14884
09/02/2022,14900
09/05/2022,14920
09/06/2022,14885
09/07/2022,14927
09/08/2022,14905
09/09/2022,14846
09/12/2022,14839
9/13/2022,14861
9/14/2022,14923
9/15/2022,14899
9/16/2022,14939
9/19/2022,14980
9/20/2022,14975
9/21/2022,15011
9/22/2022,15033
9/23/2022,15035
9/26/2022,15119
9/27/2022,15155
9/28/2022,15243
9/29/2022,15247
9/30/2022,15232
10/03/2022,15293
10/04/2022,15276
10/05/2022,15196
10/06/2022,15197
10/07/2022,15246
10/10/2022,15299
10/11/2022,15362
10/12/2022,15373
10/13/2022,15357
10/14/2022,15390
10/17/2022,15480
10/18/2022,15469
10/19/2022,15491
10/20/2022,15579
10/21/2022,15610
10/24/2022,15590
10/25/2022,15616
10/26/2022,15596
10/27/2022,15573
10/28/2022,15542
10/31/2022,15596
11/01/2022,15647
11/02/2022,15652
11/03/2022,15681
11/04/2022,15736
11/07/2022,15692
11/08/2022,15684
11/09/2022,15654
11/10/2022,15701
11/11/2022,15493
11/14/2022,15499
11/15/2022,15564
11/16/2022,15610
11/17/2022,15687
11/18/2022,15692
11/21/2022,15707
11/22/2022,15716
11/23/2022,15700
11/24/2022,15647
11/25/2022,15668
11/28/2022,15729
11/29/2022,15737
11/30/2022,15742
12/01/2022,15617
12/02/2022,15429
12/05/2022,15409
12/06/2022,15576
12/07/2022,15619
12/08/2022,15624
12/09/2022,15587
12/12/2022,15642
12/13/2022,15661
12/14/2022,15619
12/15/2022,15630
12/16/2022,15617
12/19/2022,15621
12/20/2022,15608
12/21/2022,15601
12/22/2022,15594
12/23/2022,15605
12/26/2022,15636
12/27/2022,15659
12/28/2022,15703
12/29/2022,15731
12/30/2022,15592
01/02/2023,15572
01/03/2023,15590
01/04/2023,15615
01/05/2023,15610
01/06/2023,15635
01/09/2023,15574
01/10/2023,15589
01/11/2023,15527
01/12/2023,15366
1/13/2023,15177
1/16/2023,15019
1/17/2023,15154
1/18/2023,15137
1/19/2023,15113
1/20/2023,15121
1/24/2023,14930
1/25/2023,14958
1/26/2023,14964
1/27/2023,14978
1/30/2023,14979
1/31/2023,14992
02/01/2023,14991
02/02/2023,14868
02/03/2023,14898
02/06/2023,15055
02/07/2023,15139
02/08/2023,15122
02/09/2023,15120
02/10/2023,15140
2/13/2023,15216
2/14/2023,15168
2/15/2023,15194
2/16/2023,15176
2/17/2023,15199
2/20/2023,15168
2/21/2023,15179
2/22/2023,15218
2/23/2023,15187
2/24/2023,15216
2/27/2023,15274
2/28/2023,15240
03/01/2023,15250
03/02/2023,15273
03/03/2023,15306
03/06/2023,15301
03/07/2023,15359
03/08/2023,15451
03/09/2023,15438
03/10/2023,15468
3/13/2023,15374
3/14/2023,15380
3/15/2023,15365
3/16/2023,15418
3/17/2023,15364
3/20/2023,15372
3/21/2023,15349
3/24/2023,15189
3/27/2023,15174
3/28/2023,15088
3/29/2023,15094
3/30/2023,15062
3/31/2023,14977
04/03/2023,14990
04/04/2023,14913
04/05/2023,14933
04/06/2023,14943
04/10/2023,14905
04/11/2023,14888
04/12/2023,14866
4/13/2023,14792
4/14/2023,14666
4/17/2023,14773
4/18/2023,14855
4/26/2023,14882
4/27/2023,14751
4/28/2023,14661
05/02/2023,14703
05/03/2023,14706
05/04/2023,14632
05/05/2023,14674
05/08/2023,14709
05/09/2023,14757
05/10/2023,14746
05/11/2023,14722
05/12/2023,14752
5/15/2023,14812
5/16/2023,14810
5/17/2023,14875
5/19/2023,14936
5/22/2023,14897
5/23/2023,14878
5/24/2023,14905
5/25/2023,14952
5/26/2023,14959
5/29/2023,14973
5/30/2023,14969
5/31/2023,15003
06/05/2023,14888
06/06/2023,14839
06/07/2023,14875
06/08/2023,14903
06/09/2023,14853
06/12/2023,14874
6/13/2023,14868
6/14/2023,14895
6/15/2023,14943
6/16/2023,14945
6/19/2023,14994
6/20/2023,15040
6/21/2023,14982
6/22/2023,14918
6/23/2023,14998
6/26/2023,15026
6/27/2023,15000
07/03/2023,15034
07/04/2023,15018
07/05/2023,15013
07/06/2023,15062
07/07/2023,15136
07/10/2023,15192
07/11/2023,15162
07/12/2023,15084
7/13/2023,14978
7/14/2023,14945
7/17/2023,15007
7/18/2023,14994
7/20/2023,14991
7/21/2023,15026
7/24/2023,15028
7/25/2023,15007
7/26/2023,15032
7/27/2023,15003
